series_id,category,value,timestamp,
Y1,MICRO,940.66,1990,
Y1,MICRO,1084.86,1991,
Y1,MICRO,1244.98,1992,
Y1,MICRO,1445.02,1993,
Y1,MICRO,1683.17,1994,
Y1,MICRO,2038.15,1995,
Y1,MICRO,2342.52,1996,
Y1,MICRO,2602.45,1997,
Y1,MICRO,2927.87,1998,
Y1,MICRO,3103.96,1999,
Y1,MICRO,3360.27,2000,
Y1,MICRO,3807.63,2001,
Y1,MICRO,4387.88,2002,
Y1,MICRO,4936.99,2003,
Y1,MICRO,5379.75,2004,
Y1,MICRO,6158.68,2005,
Y1,MICRO,6876.58,2006,
Y1,MICRO,7851.91,2007,
Y1,MICRO,8407.84,2008,
Y1,MICRO,9156.01,2009,
Y2,MICRO,1991.05,1990,
Y2,MICRO,2306.4,1991,
Y2,MICRO,2604,1992,
Y2,MICRO,2992.3,1993,
Y2,MICRO,3722.08,1994,
Y2,MICRO,5226.62,1995,
Y2,MICRO,5989.46,1996,
Y2,MICRO,5614.62,1997,
Y2,MICRO,5527,1998,
Y2,MICRO,5389.8,1999,
Y2,MICRO,5384.4,2000,
Y2,MICRO,3656.2,2001,
Y2,MICRO,4034.8,2002,
Y2,MICRO,4230,2003,
Y2,MICRO,4793.2,2004,
Y2,MICRO,5602,2005,
Y2,MICRO,5065,2006,
Y2,MICRO,5056,2007,
Y2,MICRO,5067.2,2008,
Y2,MICRO,5209.6,2009,
Y3,MICRO,1461.57,1990,
Y3,MICRO,1692.5,1991,
Y3,MICRO,2193.82,1992,
Y3,MICRO,2459.68,1993,
Y3,MICRO,3246.8,1994,
Y3,MICRO,4748.86,1995,
Y3,MICRO,5559.46,1996,
Y3,MICRO,5292.42,1997,
Y3,MICRO,5029.4,1998,
Y3,MICRO,4753.6,1999,
Y3,MICRO,4344.6,2000,
Y3,MICRO,2897.4,2001,
Y3,MICRO,3256.4,2002,
Y3,MICRO,3525.2,2003,
Y3,MICRO,3070.2,2004,
Y3,MICRO,3601.6,2005,
Y3,MICRO,3407.4,2006,
Y3,MICRO,3500.6,2007,
Y3,MICRO,3437.8,2008,
Y3,MICRO,3007,2009,
Y4,MICRO,744.54,1990,
Y4,MICRO,1105.16,1991,
Y4,MICRO,1417.4,1992,
Y4,MICRO,1838.04,1993,
Y4,MICRO,2337.62,1994,
Y4,MICRO,3094.88,1995,
Y4,MICRO,4280.04,1996,
Y4,MICRO,5070.2,1997,
Y4,MICRO,3675.18,1998,
Y4,MICRO,3667.38,1999,
Y4,MICRO,3808.64,2000,
Y4,MICRO,3114.42,2001,
Y4,MICRO,3847.2,2002,
Y4,MICRO,4632.3,2003,
Y4,MICRO,4656,2004,
Y4,MICRO,5228.52,2005,
Y4,MICRO,5656.72,2006,
Y4,MICRO,5077.02,2007,
Y4,MICRO,5403.4,2008,
Y4,MICRO,5009.52,2009,
Y5,MICRO,4977.18,1990,
Y5,MICRO,5248,1991,
Y5,MICRO,5370,1992,
Y5,MICRO,6184.89,1993,
Y5,MICRO,7137.19,1994,
Y5,MICRO,6743,1995,
Y5,MICRO,7298,1996,
Y5,MICRO,5260.29,1997,
Y5,MICRO,4898.18,1998,
Y5,MICRO,5392.04,1999,
Y5,MICRO,5117.64,2000,
Y5,MICRO,4332.9,2001,
Y5,MICRO,4620.5,2002,
Y5,MICRO,5488.8,2003,
Y5,MICRO,5250.9,2004,
Y5,MICRO,4899.2,2005,
Y5,MICRO,4317.9,2006,
Y5,MICRO,4007.9,2007,
Y5,MICRO,4323.4,2008,
Y5,MICRO,4819.4,2009,
Y6,MICRO,1458.05,1990,
Y6,MICRO,1931.53,1991,
Y6,MICRO,2315.78,1992,
Y6,MICRO,2573.11,1993,
Y6,MICRO,2916.61,1994,
Y6,MICRO,3018.94,1995,
Y6,MICRO,3107.36,1996,
Y6,MICRO,2912.45,1997,
Y6,MICRO,3450.89,1998,
Y6,MICRO,3816.85,1999,
Y6,MICRO,3737.22,2000,
Y6,MICRO,3739.97,2001,
Y6,MICRO,3820.81,2002,
Y6,MICRO,4094.63,2003,
Y6,MICRO,4338.03,2004,
Y6,MICRO,4185.92,2005,
Y6,MICRO,3950.49,2006,
Y6,MICRO,3715.59,2007,
Y6,MICRO,3958.3,2008,
Y6,MICRO,4140.39,2009,
Y7,MICRO,2399.26,1990,
Y7,MICRO,2910.52,1991,
Y7,MICRO,3126.62,1992,
Y7,MICRO,3475.14,1993,
Y7,MICRO,3750.96,1994,
Y7,MICRO,3752.72,1995,
Y7,MICRO,4004.02,1996,
Y7,MICRO,3737.38,1997,
Y7,MICRO,4263.98,1998,
Y7,MICRO,5121.08,1999,
Y7,MICRO,5769.76,2000,
Y7,MICRO,4387.62,2001,
Y7,MICRO,4614.72,2002,
Y7,MICRO,5128.51,2003,
Y7,MICRO,5163.21,2004,
Y7,MICRO,5089.94,2005,
Y7,MICRO,4786.4,2006,
Y7,MICRO,4926.47,2007,
Y7,MICRO,5068.83,2008,
Y7,MICRO,5318.19,2009,
Y8,MICRO,420.06,1990,
Y8,MICRO,423.66,1991,
Y8,MICRO,476.43,1992,
Y8,MICRO,576.81,1993,
Y8,MICRO,743.19,1994,
Y8,MICRO,881.73,1995,
Y8,MICRO,1345.29,1996,
Y8,MICRO,1371,1997,
Y8,MICRO,1551.63,1998,
Y8,MICRO,3146.37,1999,
Y8,MICRO,3111.66,2000,
Y8,MICRO,3572.88,2001,
Y8,MICRO,7150.65,2002,
Y8,MICRO,8288.37,2003,
Y8,MICRO,8809.8,2004,
Y8,MICRO,8953.5,2005,
Y8,MICRO,7991.01,2006,
Y8,MICRO,7294.08,2007,
Y8,MICRO,7163.37,2008,
Y8,MICRO,7478.31,2009,
Y9,MICRO,1325.42,1990,
Y9,MICRO,1801.76,1991,
Y9,MICRO,1996.05,1992,
Y9,MICRO,2865.77,1993,
Y9,MICRO,3543.31,1994,
Y9,MICRO,4826.29,1995,
Y9,MICRO,6073.39,1996,
Y9,MICRO,7335.71,1997,
Y9,MICRO,5300.43,1998,
Y9,MICRO,4401.13,1999,
Y9,MICRO,4168.4,2000,
Y9,MICRO,4660.26,2001,
Y9,MICRO,3924.48,2002,
Y9,MICRO,5132.45,2003,
Y9,MICRO,6277.6,2004,
Y9,MICRO,7446.28,2005,
Y9,MICRO,6741.69,2006,
Y9,MICRO,6600.69,2007,
Y9,MICRO,7850.17,2008,
Y9,MICRO,8485.26,2009,
Y10,MICRO,2160.04,1990,
Y10,MICRO,2553.48,1991,
Y10,MICRO,2901.18,1992,
Y10,MICRO,3205.21,1993,
Y10,MICRO,4059.58,1994,
Y10,MICRO,4742.69,1995,
Y10,MICRO,5063.38,1996,
Y10,MICRO,6154.5,1997,
Y10,MICRO,7146.27,1998,
Y10,MICRO,7839,1999,
Y10,MICRO,8163.77,2000,
Y10,MICRO,8892,2001,
Y10,MICRO,9344,2002,
Y10,MICRO,9551,2003,
Y10,MICRO,10042.9,2004,
Y10,MICRO,10173,2005,
