timestamp,value
1977-01,9315
1977-02,9636
1977-03,11657.5
1977-04,9169
1977-05,8357
1977-06,8102.5
1977-07,9306
1977-08,6138
1977-09,8419
1977-10,6403.5
1977-11,7490
1977-12,9120
1978-01,8682
1978-02,7654.5
1978-03,8204
1978-04,8360
1978-05,9449.5
1978-06,10713.5
1978-07,7080
1978-08,9863
1978-09,8112
1978-10,8719
1978-11,8973.5
1978-12,8588
1979-01,6927
1979-02,8007
1979-03,9416.5
1979-04,8240
1979-05,7832
1979-06,9263
1979-07,6576.5
1979-08,7632.5
1979-09,7228.5
1979-10,6947.5
1979-11,8044.5
1979-12,7716.5
1980-01,7884.5
1980-02,8436.5
1980-03,9355
1980-04,6512
1980-05,6326
1980-06,7741.5
1980-07,7740.5
1980-08,7607.5
1980-09,7909
1980-10,9525.5
1980-11,10440
1980-12,6820.5
1981-01,9816.5
1981-02,7209
1981-03,9858.5
1981-04,8839
1981-05,9008
1981-06,9346
1981-07,6960.5
1981-08,5459
1981-09,7696.5
1981-10,6341
1981-11,9732
1981-12,5830
1982-01,5424.5
1982-02,5171.5
1982-03,6848
1982-04,7767
1982-05,8724.5
1982-06,9305
1982-07,9243
1982-08,6032.5
1982-09,5208.5
1982-10,5921
1982-11,4863
1982-12,5393
1983-01,5526
1983-02,6226.5
1983-03,7539
1983-04,7600
1983-05,6746
1983-06,7434
1983-07,6006.5
1983-08,6549.5
1983-09,6357.5
1983-10,7013.5
1983-11,6200
1983-12,4706
1984-01,6812
1984-02,6507.5
1984-03,8893.5
1984-04,7386
1984-05,9757
1984-06,7147
1984-07,6453.5
1984-08,7023
1984-09,5609.5
1984-10,5766.5
1984-11,5115.5
1984-12,5215.5
1985-01,5133
1985-02,4427.5
1985-03,5524.5
1985-04,5818.5
1985-05,6056
1985-06,8116.5
1985-07,4959.5
1985-08,5381.5
1985-09,4042.5
1985-10,6155
1985-11,6226
1985-12,3912
1986-01,6016
1986-02,5424.5
1986-03,6525
1986-04,6826
1986-05,7280
1986-06,6972.5
1986-07,5951
1986-08,8384.5
1986-09,5751
1986-10,6521.5
1986-11,7001.5
1986-12,7790.5
1987-01,6086
1987-02,7812.5
1987-03,9932.5
1987-04,9437
1987-05,9409
1987-06,9792.5
1987-07,7727.5
1987-08,7507.5
1987-09,7403
1987-10,6778.5
1987-11,7851.5
1987-12,7338.5
1988-01,8016.5
1988-02,9215.5
1988-03,9215
1988-04,7323.5
1988-05,9636.5
1988-06,8811.5
1988-07,7511.5
1988-08,6983.5
1988-09,10511
1988-10,11278
1988-11,7917.5
1988-12,11259.5
