timestamp,value
1990-01,11700
1990-02,8020
1990-03,8450
1990-04,7740
1990-05,7920
1990-06,7850
1990-07,7990
1990-08,7840
1990-09,7230
1990-10,7670
1990-11,8010
1990-12,7710
1991-01,9430
1991-02,6510
1991-03,6540
1991-04,8350
1991-05,8130
1991-06,6480
1991-07,7420
1991-08,6620
1991-09,6690
1991-10,6790
1991-11,5890
1991-12,8720
1992-01,7850
1992-02,6060
1992-03,6450
1992-04,6050
1992-05,5480
1992-06,6340
1992-07,6190
1992-08,5100
1992-09,6250
1992-10,7330
1992-11,5930
1992-12,7270
1993-01,5580
1993-02,6080
1993-03,6900
1993-04,5840
1993-05,4810
1993-06,6440
1993-07,5790
1993-08,5350
1993-09,5480
1993-10,5200
1993-11,5700
1993-12,6790
1994-01,7230
1994-02,6230
1994-03,5480
1994-04,5160
1994-05,5210
1994-06,5750
1994-07,5920
1994-08,5950
1994-09,5430
1994-10,5090
1994-11,5520
1994-12,6180
1995-01,6620
1995-02,5510
1995-03,5410
1995-04,4810
1995-05,4840
1995-06,5960
1995-07,4860
1995-08,5050
1995-09,4360
