datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),RH,AH,T
10-03-2004 18:00,2.6,1360,150,11.9,1046,166,1056,113,1692,1268,48.9,0.7578,13.6
10-03-2004 19:00,2,1292,112,9.4,955,103,1174,92,1559,972,47.7,0.7255,13.3
10-03-2004 20:00,2.2,1402,88,9,939,131,1140,114,1555,1074,54,0.7502,11.9
10-03-2004 21:00,2.2,1376,80,9.2,948,172,1092,122,1584,1203,60,0.7867,11
10-03-2004 22:00,1.6,1272,51,6.5,836,131,1205,116,1490,1110,59.6,0.7888,11.2
10-03-2004 23:00,1.2,1197,38,4.7,750,89,1337,96,1393,949,59.2,0.7848,11.2
11-03-2004 00:00,1.2,1185,31,3.6,690,62,1462,77,1333,733,56.8,0.7603,11.3
11-03-2004 01:00,1,1136,31,3.3,672,62,1453,76,1333,730,60,0.7702,10.7
11-03-2004 02:00,0.9,1094,24,2.3,609,45,1579,60,1276,620,59.7,0.7648,10.7
11-03-2004 03:00,0.6,1010,19,1.7,561,45,1705,60,1235,501,60.2,0.7517,10.3
11-03-2004 04:00,0.6,1011,14,1.3,527,21,1818,34,1197,445,60.5,0.7465,10.1
11-03-2004 05:00,0.7,1066,8,1.1,512,16,1918,28,1182,422,56.2,0.7366,11
11-03-2004 06:00,0.7,1052,16,1.6,553,34,1738,48,1221,472,58.1,0.7353,10.5
11-03-2004 07:00,1.1,1144,29,3.2,667,98,1490,82,1339,730,59.6,0.7417,10.2
11-03-2004 08:00,2,1333,64,8,900,174,1136,112,1517,1102,57.4,0.7408,10.8
11-03-2004 09:00,2.2,1351,87,9.5,960,129,1079,101,1583,1028,60.6,0.7691,10.5
11-03-2004 10:00,1.7,1233,77,6.3,827,112,1218,98,1446,860,58.4,0.7552,10.8
11-03-2004 11:00,1.5,1179,43,5,762,95,1328,92,1362,671,57.9,0.7352,10.5
