,Timestamp,Value
0,1978-06-30,38.2
1,1978-07-31,38.2
2,1978-08-31,38.3
3,1978-09-30,43.0
4,1978-10-31,42.7
5,1978-11-30,47.4
6,1978-12-31,38.9
7,1979-01-31,42.0
8,1979-02-28,43.2
9,1979-03-31,40.1
10,1979-04-30,41.9
11,1979-05-31,42.0
12,1979-06-30,39.2
13,1979-07-31,33.1
14,1979-08-31,39.9
15,1979-09-30,44.6
16,1979-10-31,46.0
17,1979-11-30,45.1
18,1979-12-31,38.9
19,1980-01-31,39.1
20,1980-02-29,45.5
21,1980-03-31,42.6
22,1980-04-30,42.1
23,1980-05-31,38.6
24,1980-06-30,41.2
25,1980-07-31,38.1
26,1980-08-31,33.8
27,1980-09-30,46.9
28,1980-10-31,45.9
29,1980-11-30,44.8
30,1980-12-31,49.5
31,1981-01-31,42.9
32,1981-02-28,45.1
33,1981-03-31,43.7
34,1981-04-30,50.7
35,1981-05-31,45.1
36,1981-06-30,49.6
37,1981-07-31,42.7
38,1981-08-31,44.7
39,1981-09-30,48.6
40,1981-10-31,49.4
41,1981-11-30,47.1
42,1981-12-31,47.8
43,1982-01-31,44.2
44,1982-02-28,44.3
45,1982-03-31,45.8
46,1982-04-30,48.8
47,1982-05-31,44.0
48,1982-06-30,36.2
49,1982-07-31,42.8
50,1982-08-31,46.9
51,1982-09-30,47.5
52,1982-10-31,39.9
53,1982-11-30,41.1
54,1982-12-31,39.3
55,1983-01-31,39.1
56,1983-02-28,43.4
57,1983-03-31,42.2
58,1983-04-30,43.9
59,1983-05-31,45.5
60,1983-06-30,42.8
61,1983-07-31,46.3
62,1983-08-31,44.7
63,1983-09-30,41.5
64,1983-10-31,43.9
65,1983-11-30,37.8
66,1983-12-31,37.0
67,1984-01-31,36.5
68,1984-02-29,46.8
69,1984-03-31,26.7
70,1984-04-30,43.7
71,1984-05-31,45.7
72,1984-06-30,42.7
73,1984-07-31,47.8
74,1984-08-31,49.1
75,1984-09-30,41.8
76,1984-10-31,48.8
77,1984-11-30,41.9
78,1984-12-31,44.4
79,1985-01-31,40.2
80,1985-02-28,46.5
81,1985-03-31,43.0
82,1985-04-30,49.4
83,1985-05-31,43.0
